ID,heading,sortid,path
619,Aleksandrov,620.5,5/0111/A3237
620,"Aleksandrov, N",621.5,5/0111/A3238
621,Alekseev,622.5,5/0111/A3239
622,"Alekseev, S",623.5,5/0112/A3240
623,Aleksiei,624.5,5/0112/A3241
624,Alemanni,625.5,5/0112/A3242
625,Alemparte,626.5,5/0112/A3243
626,Aler,627.5,5/0112/A3244
627,Alessi,628.5,5/0112/A3245
628,Alexander (Forename),629.5,sub
629,Alexander (Forename) (info),630.5,info/N
630,Alexander (Surname),631.5,5/0113/A2700
631,"Alexander, D",632.5,5/0113/A2701
632,"Alexander, H",633.5,5/0113/A2702
633,"Alexander, J",634.5,5/0114/A2704
634,"Alexander, K",635.5,5/0114/A2703
635,"Alexander, R",636.5,5/0114/A2705
636,"Alexander, W",637.5,5/0114/A2706
